# id,sample,weight,lf0_mean,lf0_mean_err,lf0_calc,lf0_calc_err,lf1_fit,lf1_fit_err,dlf_fit,dlf_fit_err,dlf_rel_calc,dlf_rel_calc_err,k_fit,k_fit_err,m_fit,m_fit_err
66,OSSH,05g,83.9065,0.0973510514952323,82.3998578579534,0.0137472546797658,74.42925439137176,0.0057739422440812,7.970603466581646,0.0124759208955635,0.0967307914574552,0.000136929208198,3.3285068948457397,0.0100607791976148,-0.0200029343264099,0.0001722532593508
67,OSSH,05g,49.84879999999999,0.0938475751810729,47.97346425326233,0.0392073303194393,38.62882597803468,0.0065096852034249,9.344638275227643,0.0386631445866723,0.1947876481443006,0.0006494810053526,1.0031403505038572,0.0064158557578885,-0.042951958948952,0.0002157239562908
76,OSSH,05g,85.27059999999999,0.0640292100508799,83.99007785094764,0.0074953482909016,79.42879204921914,0.0030231953476391,4.561285801728506,0.006858610346997,0.0543074362881667,7.724977265181783e-05,3.177062654874974,0.0090924878605682,-0.0199961981616656,9.096486072629545e-05
77,OSSH,05g,45.84089999999999,0.0776093629223499,43.52357919514228,0.0536728249360801,36.77263500285255,0.0102029520221516,6.750944192289733,0.0526941354104304,0.155110041892952,0.0010235570194067,1.2281557349303844,0.015115257342586,-0.0517466574460871,0.0003353946667484
114,OSSH,05g,49.921800000000005,0.1801032959087571,49.69676689509386,0.1808307994880454,34.60255932835726,0.1355159913046157,15.094207566736602,0.1197296711104353,0.3037261477914517,0.0018707851772864,9.895738477679592,0.1339947077436654,0.1408094480193573,0.0031052969141885
115,OSSH,05g,54.40860000000001,0.2098334341092237,52.19971060377237,0.0364816056526124,42.803926749285885,0.0149098192699517,9.39578385448648,0.0332957180479728,0.1799968571819527,0.0005255618242075,3.0197508817533323,0.0204625364911796,-0.0578377977537991,0.0004778561382821
116,OSSH,05g,49.9677,0.1041996524349667,48.647501543709225,0.2898611777589986,32.782008163688744,0.2135438312147088,15.865493380020478,0.1960064655106502,0.3261317205728543,0.0030693962973935,14.590601143398311,0.2382863001641436,0.1302019516936274,0.0038079818500448
117,OSSH,05g,52.90559999999999,0.1678595151214759,53.45548810575868,0.0221262519574063,44.52914135887339,0.0051648746817273,8.926346746885288,0.0215149969836084,0.1669865352127178,0.0003356628623251,1.744670793032575,0.0068820904829276,-0.0380895629688453,0.0001567175145625
118,OSSH,05g,49.7406,0.1396823222571521,50.62174917528712,0.0791305719765358,38.23839481827422,0.0484262534765733,12.383354357012898,0.0625823089663236,0.2446251770979555,0.0009627244702715,4.550117557429441,0.051649968157479,0.0542297003095842,0.0015034239938487
119,OSSH,05g,54.9605,0.1754438101801559,54.6268010591066,0.0443007283436903,46.75497259586673,0.0086092764255283,7.871828463239864,0.0434561260492728,0.144101948322445,0.0006812534799284,1.118889052775356,0.0097766752618657,-0.0743988695677161,0.0003199183378555
122,OSSH,05g,126.2433,3.1923919678630432,128.2773755146382,0.4300184128059757,90.65900880886254,0.3192750499281307,37.61836670577566,0.2880612397487037,0.2932580009128958,0.0017468668482362,11.733470612278724,0.1316886356320134,0.3658112850025741,0.0067061195918397
123,OSSH,05g,53.66699999999968,0.2121697811094121,53.39017784548028,0.0495826189659731,45.4216651166233,0.0085650897908801,7.968512728856982,0.0488372331361947,0.1492505372789566,0.0007785685070861,1.0127308160568065,0.0096482673358208,-0.07603810532178,0.0002978326873504
