# id,sample,weight_mg,lf0_mean,lf0_mean_err,lf0_calc,lf0_calc_err,lf1_fit,lf1_fit_err,dlf_fit,dlf_fit_err,dlf_rel_calc,dlf_rel_calc_err,k_fit,k_fit_err,m_fit,m_fit_err,adR2,FStat,pFStat
146,FLINTNB,3000,56.296599999999565,0.1766341972542107,56.29199245492686,0.018623018007345078,53.37571571293636,0.010854171912974142,2.916276741990503,0.015132869912396072,0.051806244810495436,0.0002550967919195996,4.292150474042406,0.04905288716129008,-0.12430701666137682,0.00034011488960333883,0.9939628938055135,220045.39948067444,1.1102230246251565e-16
147,FLINTNB,3000,57.49430000000034,0.21052750849195911,56.612463402881346,0.01590544368283669,52.66338660355505,0.010751753318586882,3.9490767993263,0.011721046852740823,0.06975631445716789,0.00019305279343224269,5.3459806300238695,0.03670012142627134,-0.08786227628698147,0.00031885453459354313,0.9956938241008992,308685.8485027989,1.1102230246251565e-16
160,FLINTNB,3000,65.5544,0.3118619853362989,65.7515220230839,0.05700422982810508,62.90171313324036,0.04278802319545884,2.8498088898435414,0.03766519997717125,0.043342097675595055,0.0005487386844542404,8.817599994994064,0.20790120342379642,-0.11537402537923193,0.0010723207618873994,0.9904698521779443,136747.11649512514,1.1102230246251565e-16
161,FLINTNB,3000,54.450100000000006,0.19114530213041256,54.06024924542958,0.012455999940138728,50.0679964379144,0.008409308384956843,3.9922528075151815,0.009188877352290133,0.07384821311849017,0.00015784099115541338,5.2493876365654595,0.027941373081337158,-0.08444563266855086,0.00025354310592100066,0.9972379480587686,474420.2693291512,1.1102230246251565e-16
226,FLINTNB,3000,60.44030000000001,0.22426815691534613,61.553197199916276,0.021981596862415496,58.11257443365847,0.010173831797744413,3.4406227662578,0.01948547528732516,0.05589673522697989,0.00029901108997342917,3.2734235568003736,0.037134535948487785,-0.08393968128253217,0.0003374910001139953,0.9850235148202025,87559.0977683671,1.1102230246251565e-16
227,FLINTNB,3000,51.45360000000001,0.189004663336022,50.973172810772255,0.007598490486974508,49.144980360533935,0.004541856911149868,1.8281924502383178,0.006091682319300825,0.0358657770240263,0.00011526569123752053,4.412423369077501,0.03271879405400791,-0.052706957106244776,0.00014194121334056006,0.9956138529196251,301898.40547605086,1.1102230246251565e-16
230,FLINTNB,3000,59.5099,0.3271681968483933,59.34507745223477,0.021566010068405802,54.427962897478594,0.015989927948759985,4.917114554756173,0.01447117806068479,0.0828563170839877,0.00022475514927783473,10.981022876122234,0.06990354455969496,-0.03129257164945879,0.0002779613218500995,0.9922229357633126,266171.50293321395,1.1102230246251565e-16
231,FLINTNB,3000,34.8991,0.13604299944391723,34.601845541067114,0.017623351804515373,32.33789414425528,0.012661761602696064,2.263951396811831,0.012258153284333124,0.06542863137530817,0.00033194859881072533,9.626466569052035,0.11912583954787431,-0.035737241184224715,0.00023019940113285257,0.9842591963100464,130452.45508634653,1.1102230246251565e-16
234,FLINTNB,3000,56.301300000000005,0.13916780402692802,57.035272354000426,0.016391287332808306,52.4317318216667,0.010392491720197888,4.603540532333726,0.012675583468712608,0.08071392214559726,0.0002048318456599647,7.515152075325154,0.047087743246936854,-0.03780184246620332,0.00020291917212856485,0.9889546522564722,186795.1768682615,1.1102230246251565e-16
235,FLINTNB,3000,43.02610000000001,0.19059148752007568,42.3925106115852,0.014032378726576707,39.160643390948586,0.009188669678245312,3.231867220636617,0.010605470393630719,0.07623674969968396,0.00023169084091536138,7.902785846073076,0.05960255439931221,-0.04554960084721465,0.0001770666693661429,0.9912712056729881,236922.55791399788,1.1102230246251565e-16
238,FLINTNB,3000,60.802800000000005,0.32270155917859505,60.2616968832836,0.5224329863244106,52.24264525876447,0.37209872432620605,8.019051624519129,0.36671346383062065,0.13307045833858006,0.005339173369359366,40.57437599631373,1.4557932402082507,0.0054739963037044,0.0032056715941435666,0.9892043273845954,191163.47699224277,1.1102230246251565e-16
239,FLINTNB,3000,44.5747,0.20077405265676218,43.72457492622188,0.00998672418976404,41.79493053025198,0.006438403163793041,1.9296443959698975,0.007634240285901275,0.04413180457959532,0.00016701951237113849,7.708323946286627,0.06977686137437941,-0.061550379799484044,0.0001248905406552262,0.9958160911088053,496551.3250443682,1.1102230246251565e-16
242,FLINTNB,3000,45.4847,0.1335430407911405,45.26719684828467,0.013514944861975386,43.3467056331118,0.005304817105589608,1.9204912151728666,0.012430311745828372,0.042425671322425626,0.0002629956299602531,3.8027105912406665,0.04640570715430769,-0.058193936133265886,0.00012998267557056003,0.9890011783014346,166732.99035888037,1.1102230246251565e-16
243,FLINTNB,3000,55.067699999999995,0.2151115593895018,55.40974503727174,0.024430121655634372,52.84441901514744,0.008989561282373305,2.5653260221243035,0.022716043494841926,0.046297380007771546,0.0003910566191920066,2.889185209626296,0.047214620207549136,-0.07729960775432941,0.00027224003747088917,0.9778346600900444,66846.98433199638,1.1102230246251565e-16
