# id,sample,weight_mg,lf0_mean,lf0_mean_err,lf0_calc,lf0_calc_err,lf1_fit,lf1_fit_err,dlf_fit,dlf_fit_err,dlf_rel_calc,dlf_rel_calc_err,k_fit,k_fit_err,m_fit,m_fit_err,adR2,FStat,pFStat
368,QPVL,5000,47.9843000000006,0.0795602905967545,50.62144046632375,0.16125066366142665,47.762833894122075,0.11713966719528404,2.8586065722016722,0.11081549937002783,0.056470273185990814,0.0020696123240306896,6.1860155921231135,0.26398171911845575,0.03093873459328332,0.005427229525014569,0.9617099914308874,13777.385613249466,1.1102230246251565e-16
369,QPVL,5000,62.44420000000023,0.565177658604607,61.993255356675945,2894160.9746199385,-281844.49132478243,2046480.8606469699,281906.4845801391,2046480.841351482,4547.373467616765,212271218.06037563,-2570.700415575818,9316.120031673037,-110.1579521370077,398.6896235301988,0.6034049275163638,830.0665487127055,1.1102230246251565e-16
374,QPVL,5000,61.08179999999939,0.05614189088294053,62.40058759402018,839101.0537030535,-286530.656695953,593334.0468455075,286593.057283547,593334.0435029056,4592.7942080951025,61752606.51133008,-13942.541647393367,14414.50382161822,-20.61796378305254,21.305597356368477,0.5045002921754489,2134.215957429894,1.1102230246251565e-16
375,QPVL,5000,54.113300000000315,0.21236338716503905,52.115745150251314,795909.6860755801,-286539.49114940973,562793.1337885197,286591.60689456,562793.1386836782,5499.13670174546,83974971.79791678,-17830.814868428093,17492.989668717506,-16.15185007435852,15.796762374387804,0.8965487173722299,18148.198014771016,1.1102230246251565e-16
380,QPVL,5000,60.85300000000075,0.049934892545128846,62.38401898264419,1121397.0254880507,-286211.3696369721,792947.4394565457,286273.75365595473,792947.4427935028,4588.895655081131,82479669.53442402,-546014.7508987392,1183468.2161152654,-0.5372236583560492,1.2073847648428269,0.29935795789706776,1208.1288942998049,1.1102230246251565e-16
381,QPVL,5000,50.36890000000031,0.10804843573353791,51.642684859456494,1010453.3376438202,-286206.6352861588,714498.4090423972,286258.2779710183,714498.4051986537,5543.055686396994,108446993.61447495,-14834.934842246239,18484.201478037485,-19.368097595645512,24.12032921578721,0.535982909992166,3265.7711106945485,1.1102230246251565e-16
392,QPVL,5000,44.48260000000058,0.13665985480716775,42.30667427700246,592282.7808392753,-276493.8795059973,418807.1721782039,276536.1861802743,418807.16924475087,6536.467139195504,91501893.49935749,-1304753.189857304,1615743.692710179,-0.18459894293869838,0.2544373032905686,0.9006558763232924,37695.49392186657,1.1102230246251565e-16
393,QPVL,5000,46.40750000000089,0.07429178466875973,46.57779073546408,497358.0828582879,-276503.9511453461,351685.2728985771,276550.52893608157,351685.2732354952,5937.390429415912,63394171.470166646,-17166.03101194505,10892.901015735622,-16.173421110135905,10.26468128028139,0.8448362104904465,22962.65583624787,1.1102230246251565e-16
396,QPVL,5000,46.65650000000009,0.2804218008400676,45.1136955927941,419804.6319422204,-276505.91496101726,296846.7018343656,276551.02865661005,296846.70220536785,6130.0903200841485,57038785.73963029,-4819.476311175275,2584.320912977162,-57.54161154130548,30.82561694331818,0.8881302266267208,5293.884450252826,1.1102230246251565e-16
397,QPVL,5000,48.1217999999998,0.11427080912384285,46.94355030352017,1066450.0034274189,-276517.69981283206,754094.0311849582,276564.6433631356,754094.0272549314,5891.430059613466,133828446.38459764,-4182.320151211591,5693.445929302264,-66.41468944536969,90.29102244389503,0.898943517007286,5922.841934518804,1.1102230246251565e-16
