# id,sample,weight,lf0_mean,lf0_mean_err,lf0_calc,lf0_calc_err,lf1_fit,lf1_fit_err,dlf_fit,dlf_fit_err,dlf_rel_calc,dlf_rel_calc_err,k_fit,k_fit_err,m_fit,m_fit_err
204,GWGT,05g,59.79149999999954,0.258233294589281,61.2437831477769,0.0312399998524876,54.45685432536647,0.0062388352408907,6.78692882241043,0.0306106929947763,0.1108182491932944,0.0004445716383271,1.2195738867879782,0.0087443398772798,0.0278504129804507,0.0002208664104027
205,GWGT,05g,54.836500000000136,0.9180307895329712,53.178636800048,0.0189854444750632,47.51543236671575,0.0033395208121398,5.663204433332256,0.018689427563759,0.1064939752898506,0.0003140904637443,1.0101142589577417,0.005195309538699,0.0102865333482999,0.0001194887506695
224,GWGT,05g,58.73059999999917,0.1264896819493168,59.657375753416645,0.0367919779689652,51.181032111111854,0.0079975098288987,8.476343642304794,0.0359122469278307,0.1420837496664332,0.0005167952393019,0.7075689906118238,0.0048475255401359,0.0655613862972128,0.0005424504061209
225,GWGT,05g,50.53369999999989,0.237635815441992,49.78755400734607,0.0356700858804575,44.354649156260415,0.0066285081578153,5.432904851085654,0.0350487932220353,0.1091217465771473,0.0006273171085271,0.5623413454072521,0.0057147187030108,0.0282368810663348,0.0004564471402669
229,GWGT,05g,44.98289999999988,0.1554405087219925,45.68989810940251,0.0278445789879096,40.03107154973816,0.0055053223996726,5.658826559664355,0.0272949080285976,0.1238529038982432,0.0005236184350838,1.1970218282812026,0.0091636829849238,-0.002890940892579,0.0001958697757632
240,GWGT,05g,45.45610000000032,0.1699755325971417,45.430274967794745,0.0450539226884009,39.62403702127498,0.0051737139165962,5.806237946519768,0.0447558782052327,0.1278054766482434,0.0008593703597835,0.495199711122295,0.0056930790559467,-0.0025420406479976,0.0001917201251479
241,GWGT,05g,64.23980000000033,0.3058259136984469,64.82776261071908,0.0446702719227976,56.040896289276304,0.0049429045666975,8.786866321442771,0.044395955762898,0.1355417180476608,0.0005920966181689,0.4640771441084242,0.0034886186421189,-0.0032593338147766,0.0001832630106013
246,GWGT,05g,49.97719999999986,0.2858703935035623,50.28899749289205,0.0360016160377692,44.38377872958304,0.0026468591098092,5.905218763309011,0.0359041849118425,0.1174256608345327,0.0006301504918166,0.45913039723947,0.004062953512903,-0.0044872917607516,4.793812810834436e-05
248,GWGT,05g,43.5021000000004,0.1946367731788458,44.53789539407349,0.0431053052786741,38.4219116315361,0.0041900063373415,6.115983762537393,0.0429011793551265,0.1373208973711682,0.0008310770603082,0.5674843863496647,0.0058633071174409,0.0003005388278025,0.0001021469616571
365,GWGT,05g,45.66839999999958,0.1102433380916659,49.91459798372407,0.0520772765451131,44.08815161385613,0.0322160579350006,5.826446369867947,0.0409166022964379,0.1167283040478019,0.0007279553173974,1.939864073207384,0.0307202101386726,-0.1076009635428736,0.0023711921958182
367,GWGT,05g,48.43390000000071,0.0925708342803473,50.43425877280123,0.0132006317406671,44.193175011662525,0.002408159429001,6.241083761138702,0.0129791157833352,0.1237469115835299,0.0002255786863799,2.6371328776967164,0.0085791719256887,-0.0026531846152991,3.4983404923840376e-05
371,GWGT,05g,51.5424999999998,0.0504608392349589,54.38171792480361,0.0229461763435818,47.40443231468896,0.004482908780077,6.977285610114645,0.0225040115903868,0.1283020448115025,0.0003608773652623,1.737870906164919,0.0088720632756053,-0.0092354356427007,0.0001083811580446
